Course Link,Title,Short Description,Length,Effort,Price,Institution,Subject,Level,Prerequisites
https://www.edx.org/course/excel-fundamentos-y-herramientas,Excel: Fundamentos y herramientas,"En este curso aprenderás las herramientas más habituales de Microsoft Excel, desde lo más básico a los gráficos, funciones y tablas de datos.",8 Weeks,3-4 hours per week,$50 USD,UPValenciaX,Computer Science,Introductory,Para este curso solo hacen falta conocimientos aritméticos básicos.
https://www.edx.org/course/omens-oracles-prophecies,"PredictionX: Omens, Oracles & Prophecies","This course is an overview of divination systems, ranging from ancient Chinese bone burning to modern astrology.",1 Weeks,3-5 hours per week,$25 USD,HarvardX,Social Sciences,Introductory,None
https://www.edx.org/course/cs50-for-lawyers,CS50 for Lawyers,Missing,10 Weeks,3-6 hours per week,$99 USD,HarvardX,Computer Science,Introductory,Missing
https://www.edx.org/course/improving-global-health-focusing-on-quality-and-sa,Improving Global Health: Focusing on Quality and Safety,An introduction to the emerging field of global healthcare quality.,10 Weeks,2-4 hours per week,"₹7,416",HarvardX,Social Sciences,Intermediate,Missing
https://www.edx.org/course/christianity-through-its-scriptures,Christianity Through Its Scriptures,"Learn about Christianity through a study of its sacred scriptures. We will explore how diverse Christians have interpreted these writings and practiced their teachings over a 2000 year, global history.",4 Weeks,5-10 hours per week,"₹3,671",HarvardX,Humanities,Introductory,Missing
https://www.edx.org/course/introduction-to-data-wise-a-collaborative-process,Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,Missing,10 Weeks,1-2 hours per week,"₹5,244",HarvardX,Education & Teacher Training,Intermediate,Missing
https://www.edx.org/course/leaders-of-learning,Leaders of Learning,Explore and understand your own theories of learning and leadership. Gain the tools to imagine and build the future of learning.,10 Weeks,2-4 hours per week,"₹7,416",HarvardX,Communication,Introductory,None
https://www.edx.org/course/data-science-probability,Data Science: Probability,Learn probability theory -- essential for a data scientist -- using a case study on the financial crisis of 2007-2008.,8 Weeks,1-2 hours per week,$49 USD,HarvardX,Data Analysis & Statistics,Introductory,Missing
https://www.edx.org/course/the-science-of-happiness-3,The Science of Happiness,"The first MOOC to teach positive psychology. Learn science-based principles and practices for a happy, meaningful life.",11 Weeks,4-5 hours per week,"₹10,412",BerkeleyX,Social Sciences,Introductory,None.
https://www.edx.org/course/prescription-drug-regulation-cost-and-access-curre,"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context","Understand how the FDA regulates pharmaceuticals and explore debates on prescription drug costs, marketing, and testing.",8 Weeks,2-5 hours per week,$99 USD,HarvardX,Medicine,Introductory,None
https://www.edx.org/course/introduction-to-family-engagement-in-education,Introduction to Family Engagement in Education,Learn about successful collaborations between families and educators and why they lead to improved outcomes for students and schools.,6 Weeks,2-4 hours per week,$70 USD,HarvardX,Education & Teacher Training,Introductory,None
https://www.edx.org/course/italian-language-and-culture-beginner-2019-2020,Italian Language and Culture: Beginner (2019-2020),"Learn the basics of the Italian language and culture through videos, podcasts, interviews, and much more.",12 Weeks,2-5 hours per week,$49 USD,WellesleyX,Language,Introductory,None
https://www.edx.org/course/fundamentos-de-ingles-basico-conversacional-y-networking,Inglés básico: conversacional y networking,Cumple tu meta de aprender inglés básico para utilizarlo de forma estratégica en los negocios e incrementar tu éxito profesional.,4 Weeks,5-8 hours per week,$49 USD,AnahuacX,Business & Management,Introductory,Missing
https://www.edx.org/course/how-to-write-an-essay,How to Write an Essay,"An introduction to academic writing for English Language Learners, focusing on essay development, grammatical correctness, and self-editing.",5 Weeks,5-6 hours per week,$49 USD,BerkeleyX,Humanities,Introductory,Students should be proficient enough in English to follow an introductory level university course.
https://www.edx.org/course/backyard-meteorology-the-science-of-weather,Backyard Meteorology: The Science of Weather,Learn to forecast the weather just by looking out your window.,6 Weeks,3-5 hours per week,$49 USD,HarvardX,Science,Introductory,None
https://www.edx.org/course/steps-in-japanese-for-beginners1-part1-2,Steps in Japanese for Beginners1 Part1,Learn basic Japanese expressions to survive in Japanese.,5 Weeks,3-5 hours per week,$49 USD,WasedaX,Language,Introductory,Missing
https://www.edx.org/course/technology-entrepreneurship-lab-to-market,Technology Entrepreneurship: Lab to Market,Explore how entrepreneurs build successful businesses by moving technology from lab to market.,5 Weeks,2-4 hours per week,$99 USD,HarvardX,Business & Management,Introductory,None
https://www.edx.org/course/buddhism-through-its-scriptures,Buddhism Through Its Scriptures,"Learn about the rich and diverse beliefs and practices of Buddhists across time and place. Experience Buddhism through its scriptures, both relationally as well as academically.",4 Weeks,5-10 hours per week,$49 USD,HarvardX,Humanities,Introductory,None
https://www.edx.org/course/data-science-inference-and-modeling,Data Science: Inference and Modeling,"Learn inference and modeling, two of the most widely used statistical tools in data analysis.",8 Weeks,1-2 hours per week,$49 USD,HarvardX,Data Analysis & Statistics,Introductory,Data Science: Probabilityor a basic knowledge of probability theory.
https://www.edx.org/course/strengthening-community-health-worker-programs,Strengthening Community Health Worker Programs,Learn to deliver high-quality primary health care at scale through national community health worker programs.,6 Weeks,2-4 hours per week,$79 USD,HarvardX,Health & Safety,Introductory,Missing
https://www.edx.org/course/artificial-intelligence-for-everyone,AI for Everyone: Master the Basics,"Learn what Artificial Intelligence (AI) is by understanding its applications and key concepts including machine learning, deep learning and neural networks.",4 Weeks,1-2 hours per week,$49 USD,IBM,Computer Science,Introductory,None
